year,date,title,filename,url
2026,3 June 2026,Consolidated questions & answers from the BCA annual sharing on BP/TOP regulatory updates 2026,consolidated-questions-answers-from-the-bca-annual-sharing-on-bptop-regulatory-updates-2026.pdf,https://isomer-user-content.by.gov.sg/338/273f21d8-d6f7-4f36-a9b1-99861bd9ce98/consolidated-questions-answers-from-the-bca-annual-sharing-on-bptop-regulatory-updates-2026.pdf
2026,28 May 2026,Circular On Extension Of Ex-Gratia Cost Sharing For Diesel And Bitumen In Ongoing Critical Public Sector Construction Contracts,Circular on Extension of Support Measure to Contractors.pdf,https://isomer-user-content.by.gov.sg/338/3eda22da-dd4c-48c2-953e-670de9b20ef0/Circular%20on%20Extension%20of%20Support%20Measure%20to%20Contractors.pdf
2026,22 May 2026,Joint MND-URA-BCA circular on New measures to enhance protection of home buyers’ interests through strengthening deterrence of errant developer behaviour,Disqualification and Suspension Framework.pdf,https://isomer-user-content.by.gov.sg/338/b6556193-1952-4cbf-920d-5ad324f86b37/Disqualification%20and%20Suspension%20Framework.pdf
2026,12 May 2026,NEW REQUIREMENTS UNDER THE BUILDING CONTROL (OUTDOOR ADVERTISING) (AMENDMENT) REGULATIONS 2026 AND THEIR COMMENCEMENT DATES,NEW REQUIREMENTS UNDER THE BUILDING CONTROL (OUTDOOR ADVERTISING) (AMENDMENT) REGULATIONS 2026.pdf,https://isomer-user-content.by.gov.sg/338/322baf0e-d3a9-4b4b-9f6b-27ff3ecf3c28/NEW%20REQUIREMENTS%20UNDER%20THE%20BUILDING%20CONTROL%20(OUTDOOR%20ADVERTISING)%20(AMENDMENT)%20REGULATIONS%202026.pdf
2026,7 May 2026,Joint BCA-URA circular on pilot project for usage declaration in shophouses during the PSI,Joint BCA-URA circular on pilot project for usage declaration in shophouses during the PSI.pdf,https://isomer-user-content.by.gov.sg/338/6bfbcad6-296d-446a-a1e3-1b1c2491ac39/Joint%20BCA-URA%20circular%20on%20pilot%20project%20for%20usage%20declaration%20in%20shophouses%20during%20the%20PSI.pdf
2026,30 April 2026,Buildability Type Approval For Programme-Level Design Standardisation Through Kit-Of-Parts Approach,Circular on Buildability Type Approval.pdf,https://isomer-user-content.by.gov.sg/338/7cb01dcb-a8e0-4b49-906d-88d6ecf2620c/Circular%20on%20Buildability%20Type%20Approval.pdf
2026,17 April 2026,"Circular on Streamlined Plan Fees for (1) Alterations, Additions or Repairs and (2) Departures and Deviations from Approved Plans of Developments involving both General Buildings and Specified Buildings",20260417_circular-on-streamlined-plan-fees-for-ana-and-amendment.pdf,https://isomer-user-content.by.gov.sg/338/f6efa228-32d1-4c9f-a75c-f906cee0c37f/20260417_circular-on-streamlined-plan-fees-for-ana-and-amendment.pdf
2026,7 April 2026,Circular on Ex-Gratia Cost Sharing for Diesel and Bitumen in Ongoing Critical Public Sector Construction Contracts,CIRCULAR ON EX-GRATIA COST SHARING FOR DIESEL AND BITUMEN IN ONGOING CRITICAL PUBLIC SECTOR.pdf,https://isomer-user-content.by.gov.sg/338/e9773b1d-5b74-45d4-a301-fb4852b5d67c/CIRCULAR%20ON%20EX-GRATIA%20COST%20SHARING%20FOR%20DIESEL%20AND%20BITUMEN%20IN%20ONGOING%20CRITICAL%20PUBLIC%20SECTOR.pdf
2026,31 March 2026,Productivity Solutions Grant for Small and Medium-sized Enterprises,Circular on Productivity Solutions Grant (PSG) for the Built Environment_1 Apr 2026.pdf,https://isomer-user-content.by.gov.sg/338/80d5bbc7-7df2-45ec-85f8-54efef490f27/Circular%20on%20Productivity%20Solutions%20Grant%20(PSG)%20for%20the%20Built%20Environment_1%20Apr%202026.pdf
2026,30 March 2026,Recognising Class 4 Licence in lieu of the SEC(K) requirement for Construction Work Permit Holders performing Full-time Heavy Vehicle Driver Occupations,Final_Industry Circular_Recognising Class 4 for WPH in Full-time Driver Occupations.pdf,https://isomer-user-content.by.gov.sg/338/83e13cdb-9b96-4592-9640-ad95ef196a6a/Final_Industry%20Circular_Recognising%20Class%204%20for%20WPH%20in%20Full-time%20Driver%20Occupations.pdf
2026,2 March 2026,"Circular On The Enhanced Framework For Reused Steel In Bc1: 2023 Design Guide For The Use Of Alternative Structural Steel To Eurocode 3 (2nd Ed) [PDF, 535 KB]",appbca-2026-01-reused_steel_framework_enhancements.pdf,https://isomer-user-content.by.gov.sg/338/ad61ce3e-efe0-4ac4-bde1-d92d2cb8232d/appbca-2026-01-reused_steel_framework_enhancements.pdf
2026,2 March 2026,"Circular On The Companion Guide To Code On Accessibility In The Built Environment 2025 [PDF, 231 KB]",circular-appbca-2026-04-companion-guide-for-coa2025.pdf,https://isomer-user-content.by.gov.sg/338/6dcaf8dd-6732-4f5e-945b-6b367d970492/circular-appbca-2026-04-companion-guide-for-coa2025.pdf
2026,2 March 2026,"Circular On Updates to CORENET X Payment Methods [PDF, 279 KB]",circular---updates-to-corenet-x-payment-methods.pdf,https://isomer-user-content.by.gov.sg/338/b845893c-e6b6-45bb-8af4-e11805993821/circular---updates-to-corenet-x-payment-methods.pdf
2026,2 March 2026,"Circular on Reminder On Proper Conduct Of Periodic Structural Inspections (PSI) And Professional Standards Expected Of Structural Engineers [PDF, 250 KB]",circular-on-reminder-on-proper-conduct-of-periodic-structural-inspections-(psi)-and-expectations.pdf,https://isomer-user-content.by.gov.sg/338/a0619ef0-e1e1-4c66-a242-e30e34bdac3a/circular-on-reminder-on-proper-conduct-of-periodic-structural-inspections-(psi)-and-expectations.pdf
2025,10 December 2025,"Handling requests to access personal data held by Management Corporation Stratatitled developments [PDF, 466 KB]",joint-bca-pdpc-circular-(10-dec-2025).pdf,https://isomer-user-content.by.gov.sg/338/b660973d-2c67-4c85-83b7-3a3a8ea38683/joint-bca-pdpc-circular-(10-dec-2025).pdf
2025,1 December 2025,"Circular on Adoption of SS 626:2024 (Code Of Practice For Design, Installation And Maintenance Of Escalators And Moving Walks) [PDF, 269 KB]",circular---adoption-of-ss626_2024.pdf,https://isomer-user-content.by.gov.sg/338/0b454bf6-efb7-4b7e-a4ff-8e087a10b814/circular---adoption-of-ss626_2024.pdf
2025,1 December 2025,"Circular On Agencies Service Standards For TOPCSC Inspection Arrangements And Post Inspection Response Time [PDF, 272 KB]",circular-on-agencies-service-standards-for-topcsc-inspection-arrangements-and-post-inspection-response-time_1-dec-2025.pdf,https://isomer-user-content.by.gov.sg/338/74e22853-6370-4044-9d57-e2ff699adb0d/circular-on-agencies-service-standards-for-topcsc-inspection-arrangements-and-post-inspection-response-time_1-dec-2025.pdf
2025,1 December 2025,"Circular on Guidance on naming of communal facilities and features in residential units in approved plans and marketing materials for greater clarity and transparency [PDF, 148 KB]",circular-guidance-on-naming-of-communal-facilities-and-features-in-residential-units-in-approved-plans-and-marketing-materials-for-greater-clarity-and-transparency.pdf,https://isomer-user-content.by.gov.sg/338/32b6902b-5457-4e94-94a5-051b7f2310d0/circular-guidance-on-naming-of-communal-facilities-and-features-in-residential-units-in-approved-plans-and-marketing-materials-for-greater-clarity-and-transparency.pdf
2025,1 December 2025,"Circular on Guideline on Ensuring Integrity of Sheet Pile Wall to Prevent Ground Loss [PDF, 2.6 MB]",guideline-on-ensuring-integrity-of-sheet-pile-wall-to-prevent-ground-loss-20251127.pdf,https://isomer-user-content.by.gov.sg/338/b4cc2066-8550-4565-a171-5b282fb4a9bc/guideline-on-ensuring-integrity-of-sheet-pile-wall-to-prevent-ground-loss-20251127.pdf
2025,1 December 2025,"Circular On Revision To Early Pre-Consultation Of Structural Concept For Complex Buildings And Introduction Of Fast-Tracking And Facilitating Scheme For Adoption Of Good Design Practices [PDF, 1.3 MB]",appbca-2025-27.pdf,https://isomer-user-content.by.gov.sg/338/1387c505-dbbb-4d3a-992c-1ef9904e3288/appbca-2025-27.pdf
2025,1 December 2025,"Circular on the Implementation of Automated Construction Productivity Data (CPD) Submission [PDF, 847 KB]",circular_automated-cpd-submission_final_1.pdf,https://isomer-user-content.by.gov.sg/338/d9db221d-fb1b-4682-96e8-6599869caf58/circular_automated-cpd-submission_final_1.pdf
